,State_Name,Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available
0,JKSRTC,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),20:15,10h 00m,06:15,1.5,719,34
1,JKSRTC,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.1,719,44
2,JKSRTC,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699,40
3,JKSRTC,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,699,40
4,JKSRTC,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,DIVA BUS,AC Sleeper (2+1),15:00,17h 00m,08:00,3.4,4999,35
5,JKSRTC,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu,Jamna Travels-Jammu,Non AC Seater (2+2),19:00,11h 45m,06:45,2.5,617,2
6,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,09:30,4.4,722,33
7,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,12h 55m,08:55,4.1,900,11
8,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:40,12h 20m,05:00,4.6,833,36
9,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Zimindara Travels,AC Sleeper (2+1),15:00,13h 30m,04:30,4.5,1149,22
10,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Jamna Travels-Jammu,AshokLeyland Stile A/C,20:30,12h 55m,09:25,3.5,949,36
11,JKSRTC,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:00,12h 20m,06:20,3.4,1035,16
12,JKSRTC,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,11h 30m,07:50,4.8,499,26
13,JKSRTC,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,11h 15m,08:30,4.6,803,24
14,JKSRTC,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,11h 40m,07:50,4.5,546,30
